Feature,Mean |SHAP Value|
num__pca0,2.08884613031032
num__pca14,0.5618988865583335
num__pca1,0.3848621011697093
num__pca10,0.32408054559633614
num__pca8,0.25641569835191586
num__pca5,0.19845870352155282
num__pca16,0.17530763888682233
num__pca6,0.16982427369105055
num__pca7,0.1316462399467824
num__pca13,0.1131522316197376
num__pca15,0.06907013173616378
num__pca9,0.038418918073256564
num__pca4,0.02248469966573496
num__pca3,0.0030550966098363335
num__pca17,0.0023467680490901572
num__pca12,0.0005027487007102719
num__pca2,0.0
num__pca11,0.0
cat__Boarding_day_Day,0.0
cat__Boarding_day_Day & Boarding,0.0
cat__School_type_Extracounty,0.0
cat__School_type_Subcounty,0.0
cat__School_Demographics_Girls,0.0
cat__School_Demographics_Mixed,0.0
cat__School_County_Machakos,0.0
cat__School_County_Makueni,0.0
cat__School_County_Nairobi,0.0
