Feature,Mean |SHAP Value|
num__pca0,1.8014408270674462
num__pca14,0.5557869577085625
num__pca10,0.43036289660107596
num__pca7,0.38144709493159357
num__pca8,0.325951283068307
num__pca6,0.3204430730347809
num__pca16,0.2818125508495483
num__pca5,0.23078817944454807
num__pca13,0.1230880110959315
num__pca12,0.08540318735062723
num__pca4,0.061245353072408026
num__pca3,0.04530993239153178
num__pca1,0.04468719890571907
num__pca9,0.022193305985284562
num__pca15,0.021160241396829947
num__pca17,0.013805597796430834
num__pca2,0.011999105335778283
num__pca11,0.0
cat__Boarding_day_Day,0.0
cat__Boarding_day_Day & Boarding,0.0
cat__School_type_Extracounty,0.0
cat__School_type_Subcounty,0.0
cat__School_Demographics_Girls,0.0
cat__School_Demographics_Mixed,0.0
cat__School_County_Machakos,0.0
cat__School_County_Makueni,0.0
cat__School_County_Nairobi,0.0
