Feature,Mean |SHAP Value|
num__pca0,8.759552944415521
num__pca14,1.739393050314487
num__pca1,1.356618379708547
num__pca10,1.2234700167530952
num__pca8,1.1128549826146847
num__pca5,0.7875088244865184
num__pca6,0.7552376660448026
num__pca16,0.6928609380097294
num__pca13,0.6838647758147358
num__pca7,0.5384393666725904
num__pca15,0.4337576202699544
num__pca4,0.28273003543611686
num__pca2,0.2541051366238899
num__pca9,0.22554593654567984
num__pca11,0.19382910393218228
cat__School_type_Subcounty,0.17514658917015719
cat__School_Demographics_Mixed,0.14454840308063682
cat__Boarding_day_Day,0.12064990331130719
num__pca3,0.11886683445994983
num__pca17,0.11261044488170371
cat__School_Demographics_Girls,0.10562087587597169
num__pca12,0.09849507803120164
cat__School_type_Extracounty,0.09700215474225861
cat__School_County_Machakos,0.09082993886496057
cat__Boarding_day_Day & Boarding,0.07394074343702721
cat__School_County_Makueni,0.06803951290855675
cat__School_County_Nairobi,0.027550304228872276
