Feature,Mean |SHAP Value|
num__pca0,7.062986820473086
num__pca14,1.5738886213268761
num__pca8,1.2314859143064754
num__pca10,1.149221934439887
num__pca5,1.0892937525052764
num__pca6,1.050964071617286
num__pca7,0.9758458463520282
num__pca16,0.9178328906611042
num__pca4,0.6176664152915542
num__pca13,0.5217515441338276
num__pca12,0.4403303433888855
num__pca1,0.4027388491879278
num__pca2,0.3025646662424911
cat__School_type_Subcounty,0.24391800813875306
cat__School_Demographics_Mixed,0.23495769666481806
num__pca3,0.2151516225209589
cat__School_Demographics_Girls,0.18426788333009284
num__pca17,0.13757798235544058
num__pca15,0.1232286513726743
num__pca9,0.10320292591109999
cat__School_County_Machakos,0.09383237062107817
cat__Boarding_day_Day,0.0830829271966535
cat__School_type_Extracounty,0.08116235183261601
cat__School_County_Nairobi,0.035237294924880806
cat__Boarding_day_Day & Boarding,0.0271094951798068
cat__School_County_Makueni,0.02139123080208568
num__pca11,0.012226986347162636
