Feature,Mean |SHAP Value|
num__pca0,0.2999180205024873
num__pca14,0.04530735243333837
num__pca10,0.03205973051298911
num__pca8,0.02714837496105279
num__pca1,0.02630805937463676
num__pca13,0.022320411398327432
num__pca5,0.02077741443522839
num__pca6,0.014005460607836697
num__pca16,0.012386866823364128
num__pca15,0.011085760238936378
num__pca7,0.007281932915727384
num__pca12,0.007091340926195499
num__pca9,0.006139600202398867
num__pca17,0.0035714732620123284
num__pca4,0.002799027127091612
num__pca3,0.0026993275735298764
num__pca11,0.0026810891930317076
num__pca2,0.0023148658034064075
cat__School_County_Nairobi,0.0006373059273875748
cat__School_Demographics_Mixed,0.0006083672053745692
cat__School_type_Subcounty,0.0006031251617707895
cat__Boarding_day_Day,0.0005779233239279122
cat__School_Demographics_Girls,0.00044883792265759
cat__School_County_Machakos,0.00042909006824907217
cat__Boarding_day_Day & Boarding,0.000423705908472514
cat__School_County_Makueni,0.0004211818925700405
cat__School_type_Extracounty,0.0003610068784079732
