Feature,Mean |SHAP Value|
num__pca0,0.24732569211720887
num__pca14,0.05239984867414832
num__pca7,0.028686954801536445
num__pca8,0.02857727005834129
num__pca6,0.0285598670743619
num__pca10,0.02709079116871229
num__pca13,0.019422726316807047
num__pca16,0.019258206796581544
num__pca9,0.014120489738637245
num__pca5,0.012996690652376543
num__pca12,0.01007250433657594
num__pca17,0.009689554732017942
num__pca15,0.006785022555956896
num__pca1,0.004558460235294312
num__pca3,0.004223941391159219
num__pca4,0.004190723892788478
num__pca2,0.003620397492373695
num__pca11,0.003035323251394082
cat__School_County_Nairobi,0.0008652492551750139
cat__Boarding_day_Day & Boarding,0.000761602527602567
cat__School_type_Subcounty,0.000756090096683137
cat__School_County_Machakos,0.000746290733320598
cat__Boarding_day_Day,0.0007027915592995839
cat__School_Demographics_Mixed,0.0005889593660129849
cat__School_type_Extracounty,0.000509123514852698
cat__School_County_Makueni,0.0004993016290453598
cat__School_Demographics_Girls,0.0004547085888840957
