Feature,Mean |SHAP Value|
num__pca0,1.8553729
num__pca14,0.44001317
num__pca1,0.31344426
num__pca10,0.28697923
num__pca8,0.21084431
num__pca5,0.15185456
num__pca6,0.1402678
num__pca16,0.11163324
num__pca7,0.09708721
num__pca13,0.07320552
num__pca15,0.0324558
num__pca9,0.0105045
num__pca3,0.00066954625
num__pca2,0.00057152583
num__pca12,0.00038496428
num__pca17,0.00019384282
num__pca4,0.0
num__pca11,0.0
cat__Boarding_day_Day,0.0
cat__Boarding_day_Day & Boarding,0.0
cat__School_type_Extracounty,0.0
cat__School_type_Subcounty,0.0
cat__School_Demographics_Girls,0.0
cat__School_Demographics_Mixed,0.0
cat__School_County_Machakos,0.0
cat__School_County_Makueni,0.0
cat__School_County_Nairobi,0.0
