Feature,Mean |SHAP Value|
num__pca0,1.6491487
num__pca14,0.45189068
num__pca10,0.31995687
num__pca7,0.30002153
num__pca6,0.27247608
num__pca16,0.2423374
num__pca8,0.2332291
num__pca5,0.1654954
num__pca13,0.083162025
num__pca12,0.04522044
num__pca4,0.03443083
num__pca9,0.018004166
num__pca3,0.012450155
num__pca15,0.0073211496
num__pca17,0.0038930788
num__pca1,0.001959677
num__pca11,0.0012720213
num__pca2,0.00020841688
cat__Boarding_day_Day,0.0
cat__Boarding_day_Day & Boarding,0.0
cat__School_type_Extracounty,0.0
cat__School_type_Subcounty,0.0
cat__School_Demographics_Girls,0.0
cat__School_Demographics_Mixed,0.0
cat__School_County_Machakos,0.0
cat__School_County_Makueni,0.0
cat__School_County_Nairobi,0.0
